date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:53:24	38542/38542	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jan%202023%2012:53:23%20GMT	https://agadirjourney.com/index.php/excursion/legzira-excursion	C:/My%20Web%20Sites/agdir/agadirjourney.com/index.php/excursion/legzira-excursion.html	(from https://agadirjourney.com/index.php/)
13:53:24	40862/40862	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jan%202023%2012:53:24%20GMT	https://agadirjourney.com/index.php/excursion/essaouira-excursion	C:/My%20Web%20Sites/agdir/agadirjourney.com/index.php/excursion/essaouira-excursion.html	(from https://agadirjourney.com/index.php/)
13:53:24	40830/40830	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jan%202023%2012:53:24%20GMT	https://agadirjourney.com/index.php/excursion/tafraout-excursion	C:/My%20Web%20Sites/agdir/agadirjourney.com/index.php/excursion/tafraout-excursion.html	(from https://agadirjourney.com/index.php/)
13:53:25	39848/39848	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jan%202023%2012:53:24%20GMT	https://agadirjourney.com/index.php/excursion/ouarzazate-excursion	C:/My%20Web%20Sites/agdir/agadirjourney.com/index.php/excursion/ouarzazate-excursion.html	(from https://agadirjourney.com/index.php/)
13:53:25	38659/38659	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jan%202023%2012:53:24%20GMT	https://agadirjourney.com/index.php/excursion/excursion-taroudant-half-day	C:/My%20Web%20Sites/agdir/agadirjourney.com/index.php/excursion/excursion-taroudant-half-day.html	(from https://agadirjourney.com/index.php/)
13:53:25	38384/38384	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jan%202023%2012:53:25%20GMT	https://agadirjourney.com/index.php/excursion/excursion-massa-small-desert-one-day	C:/My%20Web%20Sites/agdir/agadirjourney.com/index.php/excursion/excursion-massa-small-desert-one-day.html	(from https://agadirjourney.com/index.php/)
13:53:25	55881/55881	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jan%202023%2012:53:25%20GMT	https://agadirjourney.com/index.php/other-touristic-activites	C:/My%20Web%20Sites/agdir/agadirjourney.com/index.php/other-touristic-activites.html	(from https://agadirjourney.com/index.php/)
13:53:25	45811/45811	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jan%202023%2012:53:25%20GMT	https://agadirjourney.com/index.php/other-touristic-activites/berber-evening-show-2	C:/My%20Web%20Sites/agdir/agadirjourney.com/index.php/other-touristic-activites/berber-evening-show-2.html	(from https://agadirjourney.com/index.php/)
13:53:26	45275/45275	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jan%202023%2012:53:25%20GMT	https://agadirjourney.com/index.php/other-touristic-activites/berber-evening-show-3	C:/My%20Web%20Sites/agdir/agadirjourney.com/index.php/other-touristic-activites/berber-evening-show-3.html	(from https://agadirjourney.com/index.php/)
13:53:26	45381/45381	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jan%202023%2012:53:25%20GMT	https://agadirjourney.com/index.php/other-touristic-activites/berber-evening-show-4	C:/My%20Web%20Sites/agdir/agadirjourney.com/index.php/other-touristic-activites/berber-evening-show-4.html	(from https://agadirjourney.com/index.php/)
13:53:26	47087/47087	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jan%202023%2012:53:26%20GMT	https://agadirjourney.com/index.php/other-touristic-activites/berber-evening-show-5	C:/My%20Web%20Sites/agdir/agadirjourney.com/index.php/other-touristic-activites/berber-evening-show-5.html	(from https://agadirjourney.com/index.php/)
13:53:26	43926/43926	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jan%202023%2012:53:26%20GMT	https://agadirjourney.com/index.php/other-touristic-activites/our-vehicles-agadirjourney	C:/My%20Web%20Sites/agdir/agadirjourney.com/index.php/other-touristic-activites/our-vehicles-agadirjourney.html	(from https://agadirjourney.com/index.php/)
13:53:27	37628/37628	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jan%202023%2012:53:26%20GMT	https://agadirjourney.com/index.php/other-touristic-activites/sandboarding	C:/My%20Web%20Sites/agdir/agadirjourney.com/index.php/other-touristic-activites/sandboarding.html	(from https://agadirjourney.com/index.php/)
13:53:27	36864/36864	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jan%202023%2012:53:26%20GMT	https://agadirjourney.com/index.php/other-touristic-activites/camel-with-barbecue	C:/My%20Web%20Sites/agdir/agadirjourney.com/index.php/other-touristic-activites/camel-with-barbecue.html	(from https://agadirjourney.com/index.php/)
13:53:27	37018/37018	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jan%202023%2012:53:27%20GMT	https://agadirjourney.com/index.php/other-touristic-activites/tarazout-surfing-adventure	C:/My%20Web%20Sites/agdir/agadirjourney.com/index.php/other-touristic-activites/tarazout-surfing-adventure.html	(from https://agadirjourney.com/index.php/)
13:53:27	36842/36842	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jan%202023%2012:53:27%20GMT	https://agadirjourney.com/index.php/other-touristic-activites/crocodile-park	C:/My%20Web%20Sites/agdir/agadirjourney.com/index.php/other-touristic-activites/crocodile-park.html	(from https://agadirjourney.com/index.php/)
13:53:27	36550/36550	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jan%202023%2012:53:27%20GMT	https://agadirjourney.com/index.php/other-touristic-activites/ride-hors-camel-agadir	C:/My%20Web%20Sites/agdir/agadirjourney.com/index.php/other-touristic-activites/ride-hors-camel-agadir.html	(from https://agadirjourney.com/index.php/)
13:53:28	39125/39125	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jan%202023%2012:53:27%20GMT	https://agadirjourney.com/index.php/other-touristic-activites/excursion-buggy-quad-agadir	C:/My%20Web%20Sites/agdir/agadirjourney.com/index.php/other-touristic-activites/excursion-buggy-quad-agadir.html	(from https://agadirjourney.com/index.php/)
